dbh	SpCode	Sex	Flowers	CII
44	iryaal	0	0	1
142	iryaal	0	0	NA
91	iryaal	0	0	1
98	iryaal	0	0	3
326	iryaal	0	0	NA
81	iryaal	0	0	4
41	iryaal	0	0	2
103	iryaal	0	0	2
248	iryaal	0	0	4
31	iryaal	0	0	1
114	iryaal	0	0	1
130	iryaal	0	0	2
45	iryaal	0	0	3
111	iryaal	0	0	1
49	iryaal	0	0	1
30	iryaal	0	0	1
200	iryaal	0	0	2
214	iryaal	0	0	2
148	iryaal	0	0	1
42	iryaal	0	0	2
90	iryaal	0	0	1
91	iryaal	0	0	1
100	iryaal	0	0	1
70	iryaal	0	0	1
90	iryaal	0	0	1
344	iryaal	0	0	3
153	iryaal	0	0	1
130	iryaal	0	0	1
145	iryaal	0	0	4
142	iryaal	0	0	1
364	iryaal	0	0	2
43	iryaal	0	0	1
118	iryaal	0	0	1
410	iryaal	0	0	4
347	iryaal	0	0	NA
160	iryaal	0	0	4
235	iryaal	0	0	1
228	iryaal	0	0	3
185	iryaal	0	0	3
198	iryaal	0	0	3
117	iryaal	0	0	3
22	iryapa	0	0	1
17	iryapa	0	0	1
17	iryapa	0	0	2
21	iryapa	0	0	1
32	iryapa	0	0	1
15	iryapa	0	0	1
15	iryapa	0	0	1
19	iryapa	0	0	1
12	iryapa	0	0	1
22	iryapa	0	0	1
18	iryapa	0	0	2
20	iryapa	0	0	1
22	iryapa	0	0	1
33	iryapa	0	0	1
20	iryapa	0	0	1
12	iryapa	0	0	1
32	iryapa	0	0	1
29	iryapa	0	0	1
27	iryapa	0	0	1
29	iryapa	0	0	1
30	iryapa	0	0	1
17	iryapa	0	0	1
16	iryapa	0	0	1.5
45	iryapa	0	0	1
13	iryapa	0	0	1
37	iryapa	0	0	1
13	iryapa	0	0	1
40	iryapa	0	0	2
16	iryapa	0	0	3
29	iryapa	0	0	4
14	iryapa	0	0	1
13	iryapa	0	0	1
50	iryapa	0	0	2
24	iryapa	0	0	2
36	iryapa	0	0	1
18	iryapa	0	0	2
18	iryapa	0	0	1
13	iryapa	0	0	2
47	iryapa	0	0	1
54	iryapa	0	0	1
15	iryapa	0	0	1
27	iryapa	0	0	1
24	iryapa	0	0	NA
10	iryapa	0	0	NA
12	iryapa	0	0	1
12	iryapa	0	0	1
17	iryapa	0	0	1
12	iryapa	0	0	1
15	iryapa	0	0	1
40	iryapa	0	0	1
17	iryapa	0	0	1
17	iryapa	0	0	1
22	iryapa	0	0	1
14	iryapa	0	0	1
30	iryapa	0	0	1
31	iryapa	0	0	1
22	iryapa	0	0	1
30	iryapa	0	0	3
13	iryapa	0	0	1
13	iryapa	0	0	1
11	iryapa	0	0	1
13	iryapa	0	0	1
13	iryapa	0	0	1
26	iryapa	0	0	1
11	iryapa	0	0	1
15	iryapa	0	0	1
19	iryapa	0	0	1.5
14	iryapa	0	0	2
23	iryapa	0	0	1
15	iryapa	0	0	1
21	iryapa	0	0	2
70	iryapa	0	0	2
17	iryapa	0	0	1
14	iryapa	0	0	1
13	iryapa	0	0	2
46	iryapa	0	0	1
58	iryapa	0	0	NA
11	iryapa	0	0	4
17	iryapa	0	0	1
25	iryapa	0	0	3
11	iryapa	0	0	1
10	iryapa	0	0	1
12	iryapa	0	0	1
14	iryapa	0	0	1
16	iryapa	0	0	1
14	iryapa	0	0	3
13	iryapa	0	0	1
31	iryapa	0	0	1
13	iryapa	0	0	1
14	iryapa	0	0	1
15	iryapa	0	0	1
20	iryapa	0	0	1
16	iryapa	0	0	1
18	iryapa	0	0	1
18	iryapa	0	0	1
17	iryapa	0	0	1
11	iryapa	0	0	1
19	iryapa	0	0	1
22	iryapa	0	0	2
16	iryapa	0	0	1
27	iryapa	0	0	1
17	iryapa	0	0	1
61	iryapa	0	0	3
55	iryapa	0	0	4
99	iryapa	0	0	NA
23	iryapa	0	0	3
33	iryapa	0	0	1
22	iryapa	0	0	1
13	iryapa	0	0	1
19	iryapa	0	0	1
12	iryapa	0	0	1
45	iryapa	0	0	1
18	iryapa	0	0	1
34	iryapa	0	0	2
32	iryapa	0	0	1
28	iryapa	0	0	2
21	iryapa	0	0	1
21	iryapa	0	0	1
14	iryapa	0	0	1
11	iryapa	0	0	1
11	iryapa	0	0	1
55	iryapa	0	0	3
25	iryapa	0	0	NA
18	iryapa	0	0	3
15	iryapa	0	0	4
34	iryapa	0	0	NA
23	iryapa	0	0	1
37	iryapa	0	0	1
18	iryapa	0	0	1
18	iryapa	0	0	1
23	iryapa	0	0	1
17	iryapa	0	0	NA
23	iryapa	0	0	1
13	iryapa	0	0	1
14	iryapa	0	0	1
19	iryapa	0	0	1
14	iryapa	0	0	1
18	iryapa	0	0	1
30	iryapa	0	0	2
17	iryapa	0	0	1
18	iryapa	0	0	1
21	iryapa	0	0	1
12	iryapa	0	0	1
18	iryapa	0	0	1
14	iryapa	0	0	3
32	iryapa	0	0	2
14	iryapa	0	0	1
18	iryapa	0	0	1
18	iryapa	0	0	1
18	iryapa	0	0	1
11	iryapa	0	0	1
20	iryapa	0	0	2
14	iryapa	0	0	2
19	iryapa	0	0	2
22	iryapa	0	0	3
16	iryapa	0	0	1
10	iryapa	0	0	1
10	iryapa	0	0	1
11	iryapa	0	0	1
16	iryapa	0	0	1
13	iryapa	0	0	1
16	iryapa	0	0	1
14	iryapa	0	0	1
