Class,Order,Family,Genus,Specific_Epithet,Origin,IUCN_Status,Darwin,Espanola,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzon,San Cristobal,Santa Cruz,Santa Fe,Santiago,Unknown Island,Wolf,Elizabeth Bay,English Common Name,Spanish Common Name,Local Name,Taxonomic Comments,Distribution Comments,English Comments,English Description
Mammalia,Artiodactyla,Bovidae,Bos,taurus,In,,,,,True,,True,,,,True,True,,,,,,Cattle,ganado vacuno,,,"Present on Floreana, Isabela, Santa Cruz and San Cristobal","The introduction of this species in the Islands began in 1832 in Floreana, later in San Cristobal (1841), Isabela (1850 aprox.) and in Santa Cruz in 1923.",
Mammalia,Artiodactyla,Bovidae,Capra,hircus,In,LC,,True,,True,,True,True,True,,True,True,True,True,,,,Goat,"Chivo, Cabra",Chivo,"The common goat, Capra hircus, is a domesticated species that is closely related to the wild goat species Capra aegagrus.","In Galapagos domesticated and feral goats have occur on the Islands: Santa Cruz, San Crist�bal, Florena and South Isabela. They have been eradicated from North Isabela, Baltra, Espa�ola, Plaza Sur, Santa Fe, Marchena, R�bida, Santiago, and Pinta.",,"This domesticated mammal is a ruminant herbivore, approximately one meter in height.  Goats generally have short, rough hair of variable color and pattern, large horns that are hollow and turned back, tufts of long hair hanging from the lower jaw, and a short tail. The female is smaller than the male and sometimes without horns. They have a scent gland near the feet and groin but lack interdigital and lacrimal glands. Gestation lasts approximately 150 days. These feral animals show marked sexual dimorphism in size, color, and horns characteristics. The goat is considered to be one of the hundred most harmful invasive species in the world."
Mammalia,Artiodactyla,Bovidae,Ovis,aries,In,,,,,,,,,,,,True,,,,,,Sheep,Ovejuno,,,"Unknown, however was present on Santa Cruz, San Cristobal and Isabela","Unknown the introduction of this species in the Islands, but the first record was in 1984, and unknown as disappeared.",
Mammalia,Artiodactyla,Suidae,Sus,scrofa,In,LC,,,,True,,True,,,,True,True,,,,,,"Pig, wild boar","Cerdo, chancho, puerco, marrano, porcino, cochinito, lech�n.","Chancho, cerdo","Syn. No valid, Sus domesticus, Erxleben, 1777","Santa Cruz, San Crist�bal, Florena y el sur de Isabela. Erradicados del norte de Isabela, Baltra, Espa�ola, Plaza Sur, Santa Fe, Marchena, R�bida, Pinta y Santiago.",,"Medium-sized mammal with compact body and large head, its eyes are small, the neck is thick and can not fold up, the legs are short, does not present sweat glands so regulates its temperature taking mud baths, skin color varies from gray to black or brown, although there are pigs with white skin to pink. Sexually dimorphic, males are generally larger than females, An adult male can measure from 0.9 to 2 m. length (without tail), and from 0.55 to 1.1 m tall at the shoulder. The average weight is 50 to 90 kg, although there are races that can reach 300 kg. Females can measure between 0.8 to 1.35 cm in length and an average weight of 45 kg. The tusks of adult males grow continuously, the upper tusks are bent upwards, are their lethal weapons for defense. The tusks of the females are short and do not protrude. Pigs have a jaw adapted to eat vegetables, but are usually omnivorous and their diet can include eggs and juvenile tortoises and turtles, endemic reptiles and seabirds. The sense of smell of pigs is highly developed, in Europe they are used to find truffles. The males are usually solitary, while the females with their young and sub-adults live in groups called sounders. Herds usually have around 20 animals, although there have been groups of up to 50. The herds include three breeding females, one of which is the dominant female. They are most active at night."
Mammalia,Carnivora,Canidae,Canis,lupus,In,,,,,True,,True,,,,True,True,,,,,,Domestic dog,"Perro domestico, Canino.",Perro,"Two Syn. Canis familiaris, Linnaeus 1758 and Canis familiarus domesticus, Linnaeus 1758","The domestic dog was originally brought to the Galapagos as companion and to assist with hunting. Domestic dogs are are still present in populated areas of Santa Cruz, San Cristobal, Isabela and Florena Islands.  Feral populations that existed in the park areas on Isabela and Santa Cruz up until 198",,"The dog is a carnivorous/omnivorous predator mammal of the Canidae family that has been domesticated from the wolf (Canis lupus). Nearly 800 breeds of dog are recognized. Like most mammalian predators, the dog has strong muscles and a well developed cardiovascular system that give them both endurance and speed. They have an highly developed senses of smell and hearingand teeth that are adapted to hold and tear prey. Size, body form, strength, endurance, and fur coat depend on breed. There is little sexual dimorphism, however, males tend to be larger and more muscular. This species has coexisted with humans about 14,000 years, as companions and service animals.  They have been trained for service (guide dogs), guarding, hunting, racing, and shepharding. Dogs are social animals with a well-established dominance hierarchy. Their average lifespan is 15 years."
Mammalia,Carnivora,Felidae,Felis,catus,In,,,,True,True,,True,,,,True,True,,,,,,Cat,"Felino, Gato dom�stico",Gato dom�stico introducido,"Synonyms: Felis catus domestica, Erxleben 1777 and Felis sylvestris Schreber 1777. There is some confusion as to the correct species name. Schreber (1775) illustrated a plate as 'Felis Catus ferus', and in 1777 the text listed 'Felis (Catus) silvestris' and 'Felis Catus (domestica).' Opinion 465 of the International Commission on Zoological Nomenclature (1957f) declared silvestris as the specific name for the European wild cat (with the understanding that F. catus and F. silvestris are usually considered conspecific). Wilson & Reeder (eds., 2005) note that some consider catus and sylvestris (and lybica/libyca) to be conspecific. If this view were followed, there would be a problem with the continued use of the name Felis sylvestri.","They are widely distributed in Floreana, Santa Cruz, Isabela and San Cristobal, where they are feral and as pets in populated areas. They were eradicated from Baltra Island in 2004.",,"The domestic cat is a carnivorous mammal in the Felidae family. They are predators by nature that often hunt at night and prey on numerous species of small mammals, birds, reptiles, amphibians, fish, and invertebrates. They have a soft, wooly fur with a shiny appearance that they maintain by frequent grooming. Their body is flexible, light, muscular and compact with around head and short ears. Their forelimbs usually have five digits and hind legs have four with naked digital pads that allow them to stalk prey quietly. Their claws are retractable, long, sharp, curvy and laterally compressed. The eye pupils contract vertically, they have a secondary eyelid or nictitating membrane to protect the eye. Their tongue is adapted to lacerate and detain food with the surface covered by curvy point papillae. Their teeth clearly reflect their predtor nature. They have a very good sight and hearing. They have glands in the head and tail which they use to mark their territory. Females possess four pairs of mammae.  Even when kept as pets, cats live in a semi-wild status (feral) and are among the IUCN 100 worst invasive species."
Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,acutorostrata,Na,LC,,,,,,,,,,,True,,,,,,Minke whale,ballena minke,,"Syn.: Agaphelus gibbosus Cope, 1968, Balaena gibbosa Cope, 1868, Balaena microcephala Tomilin, 1957, Balaena minima Rapp, 1837, Balaena minima borealis Knox, 1838, Balaena rostrata Fabricius, 1780 , Balaenoptera acutorostrata thalmaha Deraniyagala, 1963, Balaenoptera acuturostrata Lac�p�de, 1804 (lapsus calami), Balaenoptera davidsoni Scammon, 1872, Balaenoptera eschrichtius Rasch, 1845 , Balaenoptera microcephala Gray, 1850, Balaenoptera rostrata Van Beneden & Gervais, 1880, Balaenoptera thalmaha, Balaenoptera thalmaha thalmaha Deranyagala, 1963, Pterobalaena minor Eschricht, 1849, Pterobalaena minor bergensis Eschricht, 1849, Pterobalaena minor groenlandica Eschricht, 1849, Pterobalaena nana Barkow, 1862, Pterobalaena nana pentadactyla Barkow, 1862 , Pterobalaena nana tetradactyla Barkow, 1862, Pterobalaena pentadactyla Flower, 1865, Rorqualus minor Hamilton, 1837, Sibbaldius mondinii Capellini, 1877, fide Appeltans et al. (2010)",,,
Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,borealis,Na,EN,,,,,,,,,,,True,,,,,,Sei whale,ballena Sei,,"Syn.: Balaenoptera alba Giglioli, 1870 (synonym), Balaenoptera arctica Temminck, 1841 (synonym), Balaenoptera iwasi Gray, 1846 (synonym), Balaenoptera laticeps Gray, 1846 (synonym), Balaenoptera schlegelii Van Beneden & Gervais, 1880 (synonym), Balaenoptera schlegellii Dabbene, 1902 (synonym), Balena rostrata Rudolphi, 1822 (synonym), Belaenoptera schlegeli Lahille, 1899 (synonym), Pterobalaena alba Giglioli, 1874 (synonym), Pterobalaena schlegeli Tomilin, 1957 (synonym), Pterobalaena schlegeli alba Tomilin, 1957 (synonym), Sibbaldius schlegelii Gray, 1864 (synonym), fide Appeltans et al. (2010)",,,
Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,edeni,Na,DD,,,,,,,,,,,True,,True,,,,Brydeﾴs whale,ballena de Bryde,,"Syn.: Balaenoptera brydei Olsen, 1913 (Nomen inquirendum), Baloenoptera brydei Cadenat, 1957, fide Appeltans et al. (2010)",,,
Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,musculus,Na,EN,,,,,,,,,,,True,,,,,,Blue whale,ballena azul,,"Syn.: Balaena borealis Fischer, 1829 (synonym), Balaena maximus, Balaena musculus Linnaeus, 1758 (basionym), Balaenoptera carolinae Malm, 1866 (synonym), Balaenoptera gigas Reinhardt, 1857 (synonym), Balaenoptera indica Blyth, 1859 (synonym), Balaenoptera jubartes Lac�p�de, 1804 (synonym), Balaenoptera miramaris Lahille, 1898 (synonym), Balaenoptera sibbaldi Van Beneden, 1887 (synonym), Balaenoptera sibbaldii Flower, 1885 (synonym), Physalus latirostris Flower, 1865 (synonym), Physalus sibbaldii Gray, 1847 (synonym), Pterobalaena gigas Reinhardt, 1857 (synonym), Pterobalaena grypus Munter, 1877 (synonym), Rorqualus boops F. Cuvier, 1836 (synonym), Rorqualus borealis Hamilton, 1837 (synonym), Rorqualus major Knox, 1870 (synonym), Sibbaldius antarcticus Burmeister, 1866 (synonym), Sibbaldius borealis Gray, 1864 (synonym), Sibbaldius musculus Kellogg, 1929 (synonym), fide Appeltans et al. (2010)",,,Length up to 26 meters
Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,physalus,Na,EN,,,,,,,,,,,True,,,,,,Fin Whale,"ballena de aleta, rorcual com�n",,"Syn.: Balaena antipodarum Tomilin, 1957 (synonym), Balaena antiquorum Fischer, 1829 (synonym), Balaena boops Linnaeus, 1758 (synonym), Balaena mysticetus major Kerr, 1792 (synonym), Balaena physalis Kerr, 1792 (synonym), Balaena physalus Linnaeus, 1758 (basionym), Balaena quoyi Fischer, 1829 (synonym), Balaena rostrata australis Desmoulins, 1822 (synonym), Balaena sulcata Neill, 1811 (synonym), Balaenoptera antarctica Gray, 1846 (synonym), Balaenoptera aragous Farines & Carcasonne, 1829 (synonym), Balaenoptera australis Gray, 1846 (synonym), Balaenoptera blythii Anderson, 1879 (synonym), Balaenoptera brasiliensis Gray, 1846 (synonym), Balaenoptera gibbar Lac�p�de, 1804 (synonym), Balaenoptera mediterraneensis Lesson, 1828 (synonym), Balaenoptera mediterranensis Cabrera, 1961 (misspelling), Balaenoptera musculus Van Beneden & Gervais, 1880 (synonym), Balaenoptera patachonica Lahille, 1905 (synonym), Balaenoptera patachonicus Burmeister, 1865 (synonym), Balaenoptera patagonica Dabbene, 1902 (synonym), Balaenoptera quoyii Lonnberg, 1906 (synonym), Balaenoptera rorqual Lac�p�de, 1804 (synonym), Balaenoptera sulcata arctica Schlegel, 1841 (synonym), Balaenoptera swinhoii Gray, 1866 (synonym), Balaenoptera tenuirostris Sweeting, 1840 (synonym), Balaenoptera velifera Cope, 1869 (synonym), Balaenoptera velifera copei Elliot, 1901 (synonym), Balaenopteris guibusdam Tomilin, 1957 (synonym), Benedenia knoxii Gray, 1864 (synonym), Dubertus rhodinsulensis Tomilin, 1957 (synonym), Physalis vulgaris Fleming, 1828 (synonym), Physalus antarcticus Gray, 1850 (synonym), Physalus australis Gray, 1850 (synonym), Physalus brasiliensis Gray, 1850 (synonym), Physalus dugundii Heddle, 1856 (synonym), Physalus fasciatus Gray, 1850 (synonym), Physalus patachonicus Burmeister, 1866 (synonym), Physalus verus Billberg, 1828 (synonym), Pterobalaena communis Van Beneden, 1857 (synonym), Pterobalaena gigantea michrochira Barkos, 1862 (synonym), Rorqualus musculus F. Cuvier, 1836 (synonym), Sibbaldius tectirostris Cope, 1869 (synonym), Sibbaldius tuberosus Cope, 1869 (synonym), Swinhoia chinensis Gray, 1868 (synonym), fide Appeltans et al. (2010)",,,
Mammalia,Cetartiodactyla,Balaenopteridae,Megaptera,novaeangliae,Na,LC,,,,,,,,,,,True,,,,,,Humpback Whale,ballena jorobada,,"Syn.: Balaena allamack Gray, 1846, Balaena atlanticus Hurdis, 1897, Balaena boops Fabricius, 1780, Balaena gibbosa Gray, 1843, Balaena lalandii Fischer, 1829, Balaena longimana Rudolphi, 1832, Balaena nodosa Bonnaterre, 1789, Balaena novaeangliae Borowski, 1781 (basionym), Balaena sulcata antarctica Schlegel, 1841, Balaenoptera antarctica Temminck, 1841, Balaenoptera astrolabe Pucheran, 1843 , Balaenoptera australis Lesson, 1828, Balaenoptera capensis A. Smith, 1834, Balaenoptera leucopteron Lesson, 1842, Balaenoptera syncondylus A. Mueller, 1863, Kyphobalaena keporkak Van Beneden, 1868, Megaptera americana Gray, 1846, Megaptera antarctica Gray, 1846, Megaptera australis Iredale & Troughton, 1934, Megaptera bellicosa Cope, 1871, Megaptera boops Van Beneden & Gervais, 1880, Megaptera brasiliensis True, 1904, Megaptera braziliensis Cope, 1867, Megaptera burmeisteri Burmeister, 1866, Megaptera gigas Cope, 1865, Megaptera indica Gervais, 1883, Megaptera kusira Trouessart, 1904, Megaptera kuzira Gray, 1850, Megaptera lalandii Gray, 1864, Megaptera longimana Gray, 1846, Megaptera longimana morei Gray, 1866, Megaptera longipinna Gray, 1846, Megaptera nodosa Bonnaterre, 1789, Megaptera nodosa Lahille, 1905, Megaptera nodosa bellicosa Elliot, 1904, Megaptera nodosa lalandii Tomilin, 1946, Megaptera nodosa nodosa Tomilin, 1946, Megaptera nodosa novaezealandiae Ivashin, 1958, Megaptera novaezelandiae Gray, 1864, Megaptera osphya Mead & Brownell, 2005, Megaptera osphyia Cope, 1865, Megaptera poescop Gray, 1846, Megaptera versabilis Cope, 1869, Poescopia lalandii Gray, 1866, Rorqualus antarcticus F. Cuvier, 1836, Rorqualus australis Hamilton, 1837, fide Appeltans et al. (2010)",,,
Mammalia,Cetartiodactyla,Delphinidae,Delphinus,delphis,Na,LC,,True,True,,,True,,,,True,True,,,,,,Common dolphin oceanic,Delf�n com�n oceanico,,"Mal etiquetado, nombre de la especie es Delphinus delphis, cambiado por Venegas, L. Estaba etiquetado como Tursiops truncatus",,,
Mammalia,Cetartiodactyla,Delphinidae,Feresa,attenuata,Na,DD,,,,,,,,,,,True,,,,,,"Pygmy orca, Pygmy killer whale",orca pigmea,,,,,
Mammalia,Cetartiodactyla,Delphinidae,Globicephala,macrorhynchus,Na,DD,,,,,,True,,,,,True,,True,,,,"Short finned pilot whale, shortfin pilot whale",ballena piloto de aleta corta,,,,,
Mammalia,Cetartiodactyla,Delphinidae,Grampus,griseus,Na,LC,,,,,,,,,,,True,,,,,,Risso�s dolphin,delf�n de Risso,,,,,
Mammalia,Cetartiodactyla,Delphinidae,Lagenodelphis,hosei,Na,LC,,,,,,,,,,,True,,,,,,Fraser�s dolphin,delf�n de Fraser,,,,,
Mammalia,Cetartiodactyla,Delphinidae,Orcinus,orca,Na,DD,,,,,,,,,,,True,,,,,,"Orca, killer whale",orca,,"Syn.: Orcinus glacialis (Berzin & Vladimirov, 1983), Orcinus nanus Mikhalev etal., 1981",,,
Mammalia,Cetartiodactyla,Delphinidae,Peponocephala,electra,Na,LC,,,,,,,,,,,True,,,,,,Melon-Headed whale,ballena cabeza de mel�n,,,,,
Mammalia,Cetartiodactyla,Delphinidae,Pseudorca,crassidens,Na,DD,,,,,,,,,,,True,,,,,,False Killer Whale,falsa orca,,,,,
Mammalia,Cetartiodactyla,Delphinidae,Stenella,coeruleoalba,Na,LC,,,,,,,True,,,,,,,,,,Striped dolphin,delf�n listado,,"Syn.: Stenella euphrosyne Gray, 1846",,,
