OverallRank,Country,Score,GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_life_choices,Generosity,Perceptions_corruption
1,Finland,7.632,1.305,1.592,0.874,0.681,0.192,0.393
2,Norway,7.594,1.456,1.582,0.861,0.686,0.286,0.34
3,Denmark,7.555,1.351,1.59,0.868,0.683,0.284,0.408
4,Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138
5, Switzerland,7.487,1.42,1.549,0.927,0.66,0.256,0.357
6,Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295
7,Canada,7.328,1.33,1.532,0.896,0.653,0.321,0.291
8,New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389
9,Sweden,7.314,1.355,1.501,0.913,0.659,0.285,0.383
10,Australia,7.272,1.34,1.573,0.91,0.647,0.361,0.302
11,Israel,7.19,1.244,1.433,0.888,0.464,0.262,0.082
12,Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224
13,Costa Rica,7.072,1.01,1.459,0.817,0.632,0.143,0.101
14,Ireland,6.977,1.448,1.583,0.876,0.614,0.307,0.306
15,Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28
16,Belgium,6.927,1.324,1.483,0.894,0.583,0.188,0.24
17,Luxembourg,6.91,1.576,1.52,0.896,0.632,0.196,0.321
18,United States,6.886,1.398,1.471,0.819,0.547,0.291,0.133
19,United Kingdom,6.814,1.301,1.559,0.883,0.533,0.354,0.272
20,United Arab Emirates,6.774,2.096,0.776,0.67,0.284,0.186,NA
