x	y	species	dbh	status
0.069	0.014	hickory	0.62	1
0.049	0.057	hickory	0.86	1
0.094	0.015	hickory	1.66	1
0.106	0.036	hickory	0.86	1
0.13	0.126	hickory	0.12	1
0.081	0.079	hickory	3.86	1
0.027	0.068	hickory	1.05	1
0.027	0.069	hickory	0.28	1
0.034	0.081	hickory	0.36	1
0.066	0.132	hickory	1.66	1
0.04	0.115	hickory	2.71	1
0.031	0.108	hickory	0.34	1
0.04	0.074	hickory	0.75	1
0.041	0.074	hickory	0.28	1
0.039	0.156	hickory	5.13	1
0.023	0.207	hickory	5.87	1
0.098	0.142	hickory	1.22	1
0.084	0.176	hickory	5.26	1
0.053	0.221	hickory	3.4	1
0.035	0.3	hickory	6.45	0
0.036	0.31	hickory	2.21	1
0.05	0.284	hickory	0.82	1
0.027	0.327	hickory	0.47	1
0.108	0.307	hickory	1.99	1
0.134	0.328	hickory	1.36	1
0.143	0.353	hickory	0.83	1
0.128	0.379	hickory	0.7	1
0.105	0.411	hickory	2.54	1
0.129	0.385	hickory	1.27	1
0.036	0.358	hickory	1.51	0
0.03	0.36	hickory	6.15	1
0.028	0.354	hickory	0.51	1
0.031	0.376	hickory	1.45	1
0.03	0.453	hickory	1.39	1
0.068	0.453	hickory	1.74	1
0.075	0.49	hickory	1.73	1
0.047	0.474	hickory	3.33	1
0.023	0.486	hickory	0.56	1
0.069	0.481	hickory	1.15	1
0.076	0.422	hickory	1	1
0.082	0.458	hickory	2.75	1
0.089	0.444	hickory	3.78	0
0.107	0.437	hickory	1.49	1
0.146	0.444	hickory	1.17	1
0.089	0.473	hickory	0.7	1
0.078	0.47	hickory	0.82	1
0.084	0.513	hickory	3.53	1
0.11	0.516	hickory	0.8	1
0.132	0.518	hickory	2.95	1
0.122	0.539	hickory	2.45	1
0.124	0.555	hickory	1	1
0.124	0.563	hickory	3.48	1
0.103	0.537	hickory	4.44	1
0.091	0.555	hickory	10.24	1
0.118	0.554	hickory	0.7	1
0.027	0.539	hickory	2.73	1
0.079	0.562	hickory	3.58	1
0.025	0.605	hickory	3.11	1
0.026	0.587	hickory	4.23	1
0.03	0.571	hickory	0.27	1
0.039	0.594	hickory	4.36	1
0.047	0.582	hickory	0.89	1
0.054	0.58	hickory	4.07	1
0.077	0.594	hickory	2.02	1
0.07	0.635	hickory	5.89	1
0.054	0.617	hickory	1.28	1
0.042	0.589	hickory	1.17	1
0.069	0.567	hickory	0.38	1
0.081	0.62	hickory	2.4	1
0.092	0.575	hickory	2.38	1
0.102	0.571	hickory	1.09	1
0.147	0.569	hickory	4.46	1
0.131	0.618	hickory	0.71	1
0.098	0.62	hickory	1.95	1
0.12	0.608	hickory	3.49	1
0.081	0.671	hickory	1.81	1
0.102	0.676	hickory	1.68	1
0.116	0.68	hickory	2.23	1
0.118	0.683	hickory	3.2	1
0.094	0.701	hickory	1.7	1
0.079	0.648	hickory	0.34	1
0.065	0.671	hickory	1.71	1
0.047	0.701	hickory	2.87	1
0.053	0.709	hickory	1.63	1
0.035	0.701	hickory	0.69	0
0.03	0.692	hickory	0.45	1
0.026	0.684	hickory	3.12	1
0.047	0.666	hickory	0.53	1
0.064	0.694	hickory	1.17	1
0.032	0.711	hickory	0.94	0
0.024	0.727	hickory	1.66	1
0.027	0.741	hickory	2.65	1
0.035	0.725	hickory	0.55	1
0.04	0.732	hickory	3.6	1
0.045	0.721	hickory	1.32	1
0.07	0.712	hickory	3.47	1
0.045	0.76	hickory	1.26	1
0.032	0.772	hickory	2.64	1
0.08	0.721	hickory	5.51	1
0.078	0.725	hickory	0.35	1
0.092	0.732	hickory	2.28	1
0.097	0.72	hickory	3.62	1
0.136	0.763	hickory	3.19	0
0.127	0.773	hickory	0.28	1
0.106	0.747	hickory	1.77	1
0.131	0.752	hickory	5.69	1
0.109	0.772	hickory	5.9	1
0.145	0.787	hickory	0.81	1
0.095	0.804	hickory	3.18	0
0.129	0.807	hickory	1.94	1
0.142	0.844	hickory	1.28	1
0.135	0.843	hickory	5.25	1
