x	y	species	dbh	status
0.121	0.041	maple	1.11	1
0.097	0.064	maple	1.15	0
0.135	0.064	maple	2.54	1
0.131	0.106	maple	5.72	1
0.116	0.079	maple	3.14	1
0.067	0.121	maple	0.06	1
0.058	0.083	maple	1.75	1
0.009	0.147	maple	0.91	1
0.116	0.157	maple	2.71	1
0.137	0.169	maple	8.35	1
0.119	0.2	maple	3.81	1
0.096	0.194	maple	0.49	1
0.081	0.208	maple	2.47	1
0.094	0.205	maple	6.57	0
0.106	0.156	maple	2.91	1
0.14	0.184	maple	0.1	1
0.096	0.195	maple	2.56	1
0.095	0.19	maple	2.16	1
0.077	0.218	maple	3.17	1
0.081	0.242	maple	3.68	1
0.131	0.266	maple	3.39	1
0.132	0.267	maple	2.85	1
0.128	0.276	maple	2.13	1
0.104	0.261	maple	2.91	1
0.092	0.254	maple	1.95	1
0.087	0.258	maple	3.7	1
0.07	0.223	maple	3.46	0
0.14	0.334	maple	3.87	1
0.066	0.732	maple	3.98	0
0.227	0.865	maple	2.1	1
0.249	0.945	maple	0.45	1
0.146	0.721	maple	0.88	1
0.26	0.744	maple	0.52	1
0.195	0.583	maple	2.84	1
0.275	0.616	maple	2.28	1
0.285	0.571	maple	4.83	1
0.275	0.57	maple	2.36	1
0.284	0.683	maple	6.38	0
0.29	0.697	maple	4.47	1
0.274	0.648	maple	3.42	1
0.2	0.455	maple	5.4	0
0.25	0.466	maple	2.51	1
0.248	0.478	maple	7.75	1
0.255	0.567	maple	4.23	1
0.17	0.294	maple	6.43	1
0.251	0.301	maple	2.98	1
0.225	0.292	maple	2.56	1
0.265	0.413	maple	0.31	1
0.182	0.372	maple	4.24	1
0.159	0.169	maple	1.86	1
0.186	0.175	maple	1.8	1
0.198	0.212	maple	3.16	1
0.202	0.18	maple	3.06	1
0.206	0.206	maple	2.92	0
0.196	0.17	maple	2.03	1
0.188	0.147	maple	0.75	1
0.173	0.146	maple	3.19	1
0.17	0.161	maple	3.95	1
0.226	0.26	maple	4.74	1
0.255	0.266	maple	0.31	1
0.265	0.228	maple	2.93	1
0.194	0.282	maple	0.72	1
0.197	0.266	maple	3.83	1
0.187	0.253	maple	2.22	1
0.152	0.224	maple	3.73	1
0.143	0.031	maple	0.81	1
0.2	0.042	maple	4.15	1
0.207	0.006	maple	0.79	1
0.176	0.028	maple	2.36	1
0.177	0.024	maple	3.21	0
0.269	0.067	maple	3.64	1
0.274	0.05	maple	3.27	1
