x	y	species	dbh	status
0.027	0.041	misc	0.53	1
0.105	0.097	misc	2.82	1
0.008	0.134	misc	6.05	1
0.05	0.131	misc	2.12	1
0.009	0.113	misc	2.71	1
0.028	0.109	misc	1.8	1
0.027	0.156	misc	1.35	1
0.036	0.184	misc	7.38	1
0.028	0.171	misc	2.42	1
0.103	0.215	misc	5.07	1
0.124	0.247	misc	5.81	1
0.269	0.316	misc	1.65	1
0.21	0.161	misc	3.59	0
0.221	0.196	misc	2.62	1
0.22	0.182	misc	6.15	1
0.263	0.227	misc	9.35	1
0.245	0.235	misc	3.4	1
0.216	0.227	misc	3.28	1
0.211	0.22	misc	2.2	1
0.29	0.274	misc	3.2	1
0.163	0.261	misc	1.49	1
0.205	0.259	misc	4.62	1
0.173	0.245	misc	3.27	1
0.262	0.13	misc	3.05	1
0.251	0.105	misc	7.81	1
0.307	0.192	misc	2.93	1
0.342	0.287	misc	1.84	1
0.395	0.04	misc	4.16	1
0.423	0.076	misc	2.13	1
0.42	0.113	misc	1.43	1
0.402	0.656	misc	2.82	1
0.358	0.671	misc	1.29	1
0.504	0.951	misc	2.58	1
0.536	0.969	misc	5.33	1
0.539	0.956	misc	1.58	1
0.545	0.963	misc	4.76	0
0.561	0.721	misc	3.32	1
0.523	0.834	misc	1.77	1
0.503	0.624	misc	8.34	1
0.556	0.696	misc	2.8	1
0.434	0.657	misc	3.8	1
0.574	0.51	misc	1.31	1
0.552	0.516	misc	1.74	1
0.462	0.15	misc	5.72	1
0.535	0.146	misc	3.12	1
0.516	0.169	misc	4.42	1
0.488	0.063	misc	3.31	1
0.464	0.026	misc	3.76	1
0.567	0.073	misc	1.77	0
0.436	0.137	misc	5.06	1
0.437	0.117	misc	2.13	0
0.7	0.107	misc	5.05	1
0.66	0.236	misc	2.05	1
0.661	0.282	misc	2.32	1
0.601	0.469	misc	1.44	1
0.594	0.487	misc	8.65	1
0.719	0.549	misc	2.36	1
0.668	0.553	misc	2.03	1
0.639	0.517	misc	3.04	1
0.657	0.518	misc	3.07	1
0.602	0.56	misc	3.63	0
0.574	0.626	misc	5.73	1
0.646	0.669	misc	6.52	0
0.644	0.705	misc	5.99	0
0.64	0.71	misc	4.45	1
0.636	0.699	misc	0.05	1
0.573	0.724	misc	0.36	1
0.582	0.721	misc	7.36	1
0.619	0.731	misc	3.38	1
0.622	0.726	misc	6.7	1
0.677	0.788	misc	2.24	1
0.659	0.816	misc	2.99	1
0.677	0.866	misc	1.82	1
0.631	0.956	misc	2.7	1
0.837	0.989	misc	4.1	1
0.723	0.831	misc	2.26	1
0.723	0.83	misc	1.2	1
0.724	0.828	misc	2.18	1
0.781	0.602	misc	2.99	1
0.721	0.601	misc	1.07	1
0.817	0.568	misc	7.56	1
0.852	0.539	misc	4.63	1
0.839	0.569	misc	2.86	1
0.851	0.567	misc	4.75	1
0.811	0.535	misc	0.41	1
0.732	0.557	misc	1.81	1
0.762	0.55	misc	3.96	1
0.763	0.102	misc	2.24	1
0.96	0.008	misc	2.99	1
0.988	0.227	misc	1.78	1
0.933	0.472	misc	2.92	1
0.916	0.492	misc	0.3	1
0.91	0.492	misc	3.53	1
0.877	0.487	misc	6.39	0
0.987	0.451	misc	4.17	1
0.994	0.427	misc	2.78	1
0.946	0.481	misc	4.95	1
0.878	0.527	misc	2.7	1
0.879	0.534	misc	1.73	1
0.898	0.508	misc	3.88	1
0.917	0.606	misc	4.54	1
0.935	0.649	misc	3.34	1
0.895	0.686	misc	3.73	1
0.946	0.725	misc	1.39	1
0.327	0.108	misc	2.37	1

