x	y	species	dbh	status
0.028	0.003	redoak	7.69	1
0.037	0.004	redoak	10.77	1
0.136	0	redoak	6.6	1
0.127	0.035	redoak	7.14	1
0.124	0.051	redoak	16.1	1
0.1	0.064	redoak	7.67	1
0.07	0.09	redoak	9.73	1
0.031	0.068	redoak	5.35	1
0.052	0.085	redoak	6.66	1
0.051	0.1	redoak	3.84	1
0.026	0.118	redoak	13.32	1
0.028	0.135	redoak	10.46	1
0.03	0.146	redoak	8.85	1
0.058	0.179	redoak	13.45	1
0.042	0.156	redoak	21.07	1
0.041	0.156	redoak	12.87	1
0.027	0.166	redoak	4.28	1
0.032	0.172	redoak	5.13	1
0.088	0.154	redoak	14.35	1
0.111	0.137	redoak	11.51	1
0.118	0.221	redoak	9.77	1
0.095	0.284	redoak	7.53	0
0.077	0.279	redoak	15.52	0
0.052	0.219	redoak	9.52	1
0.047	0.277	redoak	9.79	1
0.027	0.253	redoak	15	1
0.029	0.291	redoak	7.89	1
0.068	0.292	redoak	14.97	1
0.065	0.302	redoak	9.17	1
0.004	0.344	redoak	9.6	1
0.075	0.324	redoak	7.5	1
0.076	0.341	redoak	9.53	1
0.065	0.43	redoak	10.78	1
0.147	0.455	redoak	6.49	1
0.145	0.479	redoak	11.39	0
0.129	0.477	redoak	9.05	1
0.098	0.526	redoak	7.19	1
0.101	0.526	redoak	9.99	1
0.121	0.51	redoak	10.48	1
0.063	0.496	redoak	6.27	1
0.065	0.564	redoak	13.6	1
0.004	0.554	redoak	7.64	1
0.037	0.624	redoak	10.86	1
0.029	0.619	redoak	13.17	1
0.017	0.593	redoak	14.73	1
0.039	0.58	redoak	4.11	1
0.088	0.627	redoak	5.14	1
0.107	0.654	redoak	8.21	1
0.054	0.756	redoak	6.08	0
0.027	0.753	redoak	9.66	1
0.117	0.755	redoak	4.26	1
0.118	0.787	redoak	7.85	1
0.004	0.802	redoak	5.7	1
0.003	0.96	redoak	8.34	1
0.2	0.882	redoak	11.62	1
0.245	0.962	redoak	18.22	1
0.28	0.963	redoak	6.87	1
0.166	0.938	redoak	14.26	1
0.197	0.762	redoak	9.29	1
0.242	0.784	redoak	12.76	1
0.206	0.79	redoak	9.22	1
0.259	0.569	redoak	8.45	1
0.229	0.692	redoak	9.51	1
0.28	0.677	redoak	9.09	1
0.232	0.673	redoak	10.87	1
0.159	0.64	redoak	6.84	1
0.278	0.564	redoak	9.37	1
0.28	0.54	redoak	14.71	1
0.197	0.308	redoak	13.85	1
0.174	0.308	redoak	8.51	1
0.158	0.304	redoak	12.38	1
0.156	0.303	redoak	12.62	1
0.228	0.318	redoak	12.38	0
0.237	0.307	redoak	8.35	1
0.234	0.294	redoak	8.1	1
0.271	0.419	redoak	9.78	1
0.234	0.38	redoak	15.03	1
0.183	0.411	redoak	9.22	1
0.213	0.356	redoak	6.49	1
0.18	0.193	redoak	5.83	0
0.184	0.197	redoak	6	1
0.155	0.157	redoak	13.04	1
0.216	0.273	redoak	8.45	1
0.249	0.26	redoak	10.88	1
0.258	0.286	redoak	9.96	1
0.267	0.227	redoak	12.05	1
0.166	0.048	redoak	11.52	1
0.206	0.064	redoak	13.77	1
0.221	0.06	redoak	19.27	1
0.236	0.042	redoak	10.51	0
0.245	0.01	redoak	9.72	0
0.252	0.013	redoak	5.17	1
0.251	0.111	redoak	9.72	1
0.234	0.078	redoak	10.51	1
0.219	0.094	redoak	6.46	0
0.219	0.075	redoak	7.79	1
0.238	0.082	redoak	10.43	1
0.325	0.155	redoak	14.88	1
0.34	0.206	redoak	9.04	1
0.307	0.214	redoak	10.96	1
0.405	0.177	redoak	11.99	1
0.404	0.24	redoak	13.02	1
0.403	0.231	redoak	13.22	1
0.418	0.245	redoak	10.32	1
0.406	0.246	redoak	10.25	1
0.324	0.24	redoak	8.79	0
0.331	0.251	redoak	8.06	1
0.314	0.282	redoak	9.59	1
0.352	0.294	redoak	15.11	1
0.352	0.293	redoak	10.72	1
0.384	0.332	redoak	8.48	1
0.4	0.32	redoak	11.67	1
0.408	0.317	redoak	8.21	1
0.367	0.404	redoak	10.07	1
0.187	0.079	redoak	11.15	1
0.187	0.078	redoak	9.58	0
0.162	0.097	redoak	17.03	1
0.311	0.004	redoak	8.14	1
0.313	0.025	redoak	7.29	1
0.333	0.023	redoak	6.8	1
0.337	0.006	redoak	14.83	1
0.306	0.051	redoak	10.99	1
0.358	0.013	redoak	10.1	1
0.364	0.031	redoak	10.08	1
0.377	0.039	redoak	10.32	1
0.419	0.016	redoak	10.31	1
0.418	0.023	redoak	10.14	1
0.417	0.065	redoak	8.71	1
0.394	0.071	redoak	11.81	1
0.419	0.078	redoak	10.68	1
0.376	0.087	redoak	13.07	1
0.422	0.102	redoak	3.71	1
0.297	0.108	redoak	6.58	1
0.383	0.416	redoak	9.98	1
0.344	0.402	redoak	8.87	1
0.356	0.398	redoak	9.4	1
0.343	0.409	redoak	9.81	1
0.316	0.435	redoak	6.02	1
0.332	0.442	redoak	10.76	1
0.329	0.432	redoak	10.94	1
0.352	0.434	redoak	9.5	1
0.358	0.434	redoak	14.92	1
0.353	0.484	redoak	2.28	0
0.331	0.481	redoak	4.88	1
0.339	0.489	redoak	15.48	1
0.299	0.474	redoak	15.22	0
0.298	0.472	redoak	5.27	1
0.395	0.43	redoak	10.07	1
0.43	0.471	redoak	10.05	1
0.34	0.501	redoak	8.74	1
0.367	0.842	redoak	10.96	1
0.324	0.774	redoak	14.61	1
0.314	0.745	redoak	13.27	1
0.406	0.719	redoak	4.99	1
0.423	0.763	redoak	9.24	1
