x	y	species	dbh	status
0.111	0.013	whiteoak	8.34	1
0.14	0.001	whiteoak	2.28	0
0.096	0.127	whiteoak	3.5	1
0.058	0.092	whiteoak	2.56	1
0.073	0.074	whiteoak	7.22	1
0.077	0.116	whiteoak	2.85	1
0.009	0.133	whiteoak	5.24	1
0.036	0.142	whiteoak	7.97	1
0.056	0.157	whiteoak	3.45	0
0.066	0.187	whiteoak	5.26	0
0.057	0.181	whiteoak	5.33	1
0.054	0.177	whiteoak	0.76	1
0.071	0.174	whiteoak	1.17	1
0.037	0.205	whiteoak	4.85	1
0.058	0.203	whiteoak	1.89	1
0.073	0.159	whiteoak	5.73	1
0.13	0.202	whiteoak	3.13	1
0.113	0.173	whiteoak	3.52	1
0.075	0.171	whiteoak	3.27	1
0.083	0.222	whiteoak	3.39	1
0.09	0.267	whiteoak	6.21	1
0.089	0.268	whiteoak	4.28	1
0.042	0.214	whiteoak	4.13	1
0.062	0.237	whiteoak	4.9	1
0.069	0.262	whiteoak	2.85	1
0.015	0.305	whiteoak	3.96	0
0.018	0.314	whiteoak	4.93	1
0.017	0.292	whiteoak	1.36	1
0.029	0.33	whiteoak	2.16	0
0.08	0.324	whiteoak	5.22	1
0.087	0.314	whiteoak	5.31	1
0.113	0.335	whiteoak	2.34	1
0.11	0.321	whiteoak	2.13	1
0.133	0.357	whiteoak	3.92	1
0.081	0.384	whiteoak	5.22	1
0.135	0.404	whiteoak	5.38	0
0.124	0.361	whiteoak	3.73	1
0.05	0.365	whiteoak	1.39	1
0.05	0.39	whiteoak	4.88	1
0.029	0.45	whiteoak	0.31	1
0.025	0.468	whiteoak	3.49	1
0.023	0.471	whiteoak	2.95	0
0.064	0.474	whiteoak	4.25	1
0.06	0.461	whiteoak	5.06	1
0.024	0.484	whiteoak	3.25	0
0.092	0.453	whiteoak	4.46	1
0.041	0.497	whiteoak	3.69	1
0.028	0.503	whiteoak	3.92	1
0.029	0.523	whiteoak	6.24	1
